工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,70000,包装材料(复合膜袋+纸盒),0.76,53200.00,15.83%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,熟地黄,3.72,93000.00,28.95%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,山茱萸,2.96,74000.00,23.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,山药,1.57,39250.00,12.22%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,泽泻,0.90,22500.00,7.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,茯苓,1.27,31750.00,9.88%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,牡丹皮,1.10,27500.00,8.56%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,空心胶囊,0.39,9750.00,3.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,25000,包装材料(PVC+铝箔+纸盒),0.94,23500.00,7.32%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,熟地黄,3.77,82940.00,28.96%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,山茱萸,3.00,66000.00,23.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,山药,1.59,34980.00,12.21%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,泽泻,0.91,20020.00,6.99%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,茯苓,1.28,28160.00,9.83%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,牡丹皮,1.12,24640.00,8.60%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,空心胶囊,0.40,8800.00,3.07%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,22000,包装材料(PVC+铝箔+纸盒),0.95,20900.00,7.30%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,熟地黄,3.66,102480.00,29.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,山茱萸,2.91,81480.00,23.06%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,山药,1.55,43400.00,12.28%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,泽泻,0.88,24640.00,6.97%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,茯苓,1.24,34720.00,9.83%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,牡丹皮,1.08,30240.00,8.56%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,空心胶囊,0.38,10640.00,3.01%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,28000,包装材料(PVC+铝箔+纸盒),0.92,25760.00,7.29%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,熟地黄,3.83,114900.00,28.99%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,山茱萸,3.05,91500.00,23.09%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,山药,1.62,48600.00,12.26%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,泽泻,0.92,27600.00,6.96%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,茯苓,1.30,39000.00,9.84%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,牡丹皮,1.13,33900.00,8.55%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,空心胶囊,0.40,12000.00,3.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,30000,包装材料(PVC+铝箔+纸盒),0.96,28800.00,7.27%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,熟地黄,3.93,125760.00,29.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,山茱萸,3.12,99840.00,23.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,山药,1.66,53120.00,12.25%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,泽泻,0.94,30080.00,6.94%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,茯苓,1.33,42560.00,9.82%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,牡丹皮,1.16,37120.00,8.56%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,空心胶囊,0.41,13120.00,3.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,32000,包装材料(PVC+铝箔+纸盒),1.00,32000.00,7.38%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,熟地黄,3.81,106680.00,28.97%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,山茱萸,3.03,84840.00,23.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,山药,1.61,45080.00,12.24%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,泽泻,0.92,25760.00,7.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,茯苓,1.29,36120.00,9.81%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,牡丹皮,1.13,31640.00,8.59%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,空心胶囊,0.40,11200.00,3.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,28000,包装材料(PVC+铝箔+纸盒),0.96,26880.00,7.30%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,金银花,3.24,116640.00,47.65%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,黄芩提取物,2.08,74880.00,30.59%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,蔗糖,0.44,15840.00,6.47%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,苯甲酸钠,0.14,5040.00,2.06%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,纯化水,0.08,2880.00,1.18%
中药二厂,银黄口服液,10ml×10支/盒,2025-01,36000,包装材料(盒+说明书),0.82,29520.00,12.06%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,金银花,3.28,99712.00,47.67%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,黄芩提取物,2.10,63840.00,30.52%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,蔗糖,0.44,13376.00,6.40%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,苯甲酸钠,0.14,4256.00,2.03%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,纯化水,0.08,2432.00,1.16%
中药二厂,银黄口服液,10ml×10支/盒,2025-02,30400,包装材料(盒+说明书),0.84,25536.00,12.21%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,金银花,3.21,128079.00,47.70%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,黄芩提取物,2.06,82194.00,30.61%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,蔗糖,0.43,17157.00,6.39%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,苯甲酸钠,0.14,5586.00,2.08%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,纯化水,0.08,3192.00,1.19%
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,包装材料(盒+说明书),0.81,32319.00,12.04%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,金银花,3.25,139100.00,47.65%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,黄芩提取物,2.09,89452.00,30.65%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,蔗糖,0.44,18832.00,6.45%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,苯甲酸钠,0.14,5992.00,2.05%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,纯化水,0.08,3424.00,1.17%
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,包装材料(盒+说明书),0.82,35096.00,12.02%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,金银花,3.28,149568.00,47.74%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,黄芩提取物,2.10,95760.00,30.57%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,蔗糖,0.44,20064.00,6.40%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,苯甲酸钠,0.14,6384.00,2.04%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,纯化水,0.08,3648.00,1.16%
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,包装材料(盒+说明书),0.83,37848.00,12.08%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,金银花,3.25,129675.00,47.72%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,黄芩提取物,2.08,82992.00,30.54%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,蔗糖,0.44,17556.00,6.46%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,苯甲酸钠,0.14,5586.00,2.06%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,纯化水,0.08,3192.00,1.17%
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,包装材料(盒+说明书),0.82,32718.00,12.04%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,板蓝根,2.95,190570.00,64.13%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,蔗糖,0.56,36176.00,12.17%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,糊精,0.36,23256.00,7.83%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,包装材料(复合膜袋+纸盒),0.73,47158.00,15.87%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,板蓝根,2.99,164749.00,64.16%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,蔗糖,0.57,31407.00,12.23%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,糊精,0.36,19836.00,7.73%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,包装材料(复合膜袋+纸盒),0.74,40774.00,15.88%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,板蓝根,2.90,198360.00,64.16%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,蔗糖,0.55,37620.00,12.17%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,糊精,0.35,23940.00,7.74%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,包装材料(复合膜袋+纸盒),0.72,49248.00,15.93%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,板蓝根,2.92,208196.00,64.18%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,蔗糖,0.55,39215.00,12.09%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,糊精,0.36,25668.00,7.91%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,包装材料(复合膜袋+纸盒),0.72,51336.00,15.82%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,板蓝根,2.95,218595.00,64.13%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,蔗糖,0.56,41496.00,12.17%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,糊精,0.36,26676.00,7.83%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,包装材料(复合膜袋+纸盒),0.73,54093.00,15.87%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,板蓝根,2.92,194180.00,64.04%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,蔗糖,0.56,37240.00,12.28%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,糊精,0.36,23940.00,7.89%
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,包装材料(复合膜袋+纸盒),0.72,47880.00,15.79%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,熟地黄,3.70,88060.00,28.95%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,山茱萸,2.95,70210.00,23.08%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,山药,1.57,37366.00,12.28%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,泽泻,0.89,21182.00,6.96%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,茯苓,1.26,29988.00,9.86%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,牡丹皮,1.09,25942.00,8.53%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,空心胶囊,0.39,9282.00,3.05%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,包装材料(PVC+铝箔+纸盒),0.93,22134.00,7.28%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,熟地黄,3.75,78375.00,28.96%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,山茱萸,2.99,62491.00,23.09%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,山药,1.59,33231.00,12.28%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,泽泻,0.90,18810.00,6.95%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,茯苓,1.28,26752.00,9.88%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,牡丹皮,1.11,23199.00,8.57%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,空心胶囊,0.39,8151.00,3.01%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,包装材料(PVC+铝箔+纸盒),0.94,19646.00,7.26%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,熟地黄,3.64,96824.00,29.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,山茱萸,2.89,76874.00,23.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,山药,1.54,40964.00,12.27%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,泽泻,0.87,23142.00,6.93%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,茯苓,1.24,32984.00,9.88%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,牡丹皮,1.08,28728.00,8.61%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,空心胶囊,0.38,10108.00,3.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,包装材料(PVC+铝箔+纸盒),0.91,24206.00,7.25%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,熟地黄,3.69,105165.00,29.01%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,山茱萸,2.93,83505.00,23.03%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,山药,1.56,44460.00,12.26%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,泽泻,0.89,25365.00,7.00%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,茯苓,1.25,35625.00,9.83%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,牡丹皮,1.09,31065.00,8.57%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,空心胶囊,0.39,11115.00,3.07%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,包装材料(PVC+铝箔+纸盒),0.92,26220.00,7.23%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,熟地黄,3.72,113088.00,29.02%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,山茱萸,2.96,89984.00,23.09%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,山药,1.57,47728.00,12.25%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,泽泻,0.89,27056.00,6.94%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,茯苓,1.26,38304.00,9.83%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,牡丹皮,1.10,33440.00,8.58%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,空心胶囊,0.39,11856.00,3.04%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,包装材料(PVC+铝箔+纸盒),0.93,28272.00,7.25%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,熟地黄,3.68,97888.00,28.98%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,山茱萸,2.93,77938.00,23.07%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,山药,1.56,41496.00,12.28%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,泽泻,0.88,23408.00,6.93%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,茯苓,1.25,33250.00,9.84%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,牡丹皮,1.09,28994.00,8.58%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,空心胶囊,0.39,10374.00,3.07%
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,包装材料(PVC+铝箔+纸盒),0.92,24472.00,7.24%
