工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,折旧费,0.86,34314.00
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,动力费(水电气),0.58,23142.00
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,人工(间接),0.50,19950.00
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,检验费,0.27,10773.00
中药二厂,银黄口服液,10ml×10支/盒,2025-03,39900,其他制造费用,0.25,9975.00
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,折旧费,0.87,37236.00
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,动力费(水电气),0.59,25252.00
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,人工(间接),0.51,21828.00
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,检验费,0.27,11556.00
中药二厂,银黄口服液,10ml×10支/盒,2025-04,42800,其他制造费用,0.26,11128.00
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,折旧费,0.89,40584.00
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,动力费(水电气),0.60,27360.00
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,人工(间接),0.52,23712.00
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,检验费,0.28,12768.00
中药二厂,银黄口服液,10ml×10支/盒,2025-05,45600,其他制造费用,0.27,12312.00
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,折旧费,0.86,34314.00
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,动力费(水电气),0.58,23142.00
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,人工(间接),0.51,20349.00
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,检验费,0.27,10773.00
中药二厂,银黄口服液,10ml×10支/盒,2025-06,39900,其他制造费用,0.26,10374.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,折旧费,0.60,38760.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,动力费(水电气),0.46,29716.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,人工(间接),0.36,23256.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,检验费,0.20,12920.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,64600,其他制造费用,0.18,11628.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,折旧费,0.61,33611.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,动力费(水电气),0.46,25346.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,人工(间接),0.36,19836.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,检验费,0.20,11020.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,55100,其他制造费用,0.20,11020.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,折旧费,0.58,39672.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,动力费(水电气),0.44,30096.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,人工(间接),0.35,23940.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,检验费,0.19,12996.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,68400,其他制造费用,0.19,12996.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,折旧费,0.59,42067.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,动力费(水电气),0.45,32085.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,人工(间接),0.35,24955.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,检验费,0.20,14260.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,71300,其他制造费用,0.19,13547.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,折旧费,0.60,44460.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,动力费(水电气),0.46,34086.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,人工(间接),0.36,26676.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,检验费,0.20,14820.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,74100,其他制造费用,0.19,14079.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,折旧费,0.59,39235.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,动力费(水电气),0.45,29925.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,人工(间接),0.35,23275.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,检验费,0.20,13300.00
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,66500,其他制造费用,0.18,11970.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,折旧费,1.14,27132.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,动力费(水电气),0.79,18802.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,人工(间接),0.63,14994.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,检验费,0.39,9282.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,23800,其他制造费用,0.37,8806.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,折旧费,1.16,24244.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,动力费(水电气),0.80,16720.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,人工(间接),0.64,13376.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,检验费,0.39,8151.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,20900,其他制造费用,0.38,7942.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,折旧费,1.12,29792.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,动力费(水电气),0.77,20482.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,人工(间接),0.62,16492.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,检验费,0.38,10108.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,26600,其他制造费用,0.36,9576.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,折旧费,1.13,32205.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,动力费(水电气),0.78,22230.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,人工(间接),0.63,17955.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,检验费,0.38,10830.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,28500,其他制造费用,0.37,10545.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,折旧费,1.15,34960.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,动力费(水电气),0.79,24016.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,人工(间接),0.64,19456.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,检验费,0.39,11856.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,30400,其他制造费用,0.38,11552.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,折旧费,1.12,29792.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,动力费(水电气),0.77,20482.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,人工(间接),0.62,16492.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,检验费,0.38,10108.00
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,26600,其他制造费用,0.38,10108.00
