工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,动力费(水电气),0.54,27000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,人工(间接),0.47,23500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,检验费,0.25,12500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,其他制造费用,0.24,12000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,折旧费,0.55,46750.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,动力费(水电气),0.42,35700.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,人工(间接),0.33,28050.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,检验费,0.18,15300.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,其他制造费用,0.17,14450.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,折旧费,0.56,40320.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,动力费(水电气),0.43,30960.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,人工(间接),0.34,24480.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,检验费,0.18,12960.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,其他制造费用,0.17,12240.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,折旧费,0.53,50350.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,动力费(水电气),0.4,38000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,人工(间接),0.32,30400.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,检验费,0.17,16150.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,其他制造费用,0.18,17100.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,折旧费,0.54,52920.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,动力费(水电气),0.41,40180.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,人工(间接),0.33,32340.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,检验费,0.18,17640.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,其他制造费用,0.17,16660.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,折旧费,0.55,56100.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,动力费(水电气),0.42,42840.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,人工(间接),0.34,34680.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,检验费,0.18,18360.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,其他制造费用,0.17,17340.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,折旧费,0.54,48600.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,动力费(水电气),0.41,36900.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,人工(间接),0.32,28800.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,检验费,0.18,16200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,其他制造费用,0.17,15300.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,折旧费,1.05,33600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,动力费(水电气),0.72,23040.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,人工(间接),0.58,18560.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,检验费,0.35,11200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,其他制造费用,0.35,11200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,折旧费,1.07,29960.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,动力费(水电气),0.74,20720.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,人工(间接),0.59,16520.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,检验费,0.35,9800.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,其他制造费用,0.35,9800.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,折旧费,1.02,35700.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,动力费(水电气),0.7,24500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,人工(间接),0.57,19950.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,检验费,0.34,11900.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,其他制造费用,0.35,12250.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,折旧费,1.04,39520.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,动力费(水电气),0.71,26980.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,人工(间接),0.58,22040.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,检验费,0.35,13300.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,其他制造费用,0.34,12920.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,折旧费,1.06,42400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,动力费(水电气),0.73,29200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,人工(间接),0.59,23600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,检验费,0.36,14400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,其他制造费用,0.34,13600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,折旧费,1.03,36050.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,动力费(水电气),0.71,24850.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,人工(间接),0.57,19950.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,检验费,0.35,12250.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,其他制造费用,0.34,11900.0
