工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,蔗糖,0.48,27840.0,6.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,苯甲酸钠,0.16,9280.0,2.2%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,纯化水,0.08,4640.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,58000,包装材料(盒+说明书),0.88,51040.0,12.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,金银花,3.4,170000.0,47.7%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,黄芩提取物,2.18,109000.0,30.6%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,蔗糖,0.46,23000.0,6.5%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,苯甲酸钠,0.15,7500.0,2.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,纯化水,0.08,4000.0,1.1%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,50000,包装材料(盒+说明书),0.86,43000.0,12.1%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,板蓝根,2.8,238000.0,63.3%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,蔗糖,0.55,46750.0,12.4%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,糊精,0.35,29750.0,7.9%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,85000,包装材料(复合膜袋+纸盒),0.72,61200.0,16.3%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,板蓝根,2.85,205200.0,63.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,蔗糖,0.56,40320.0,12.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,糊精,0.35,25200.0,7.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,72000,包装材料(复合膜袋+纸盒),0.73,52560.0,16.3%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,板蓝根,2.75,261250.0,63.4%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,蔗糖,0.54,51300.0,12.4%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,糊精,0.34,32300.0,7.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,95000,包装材料(复合膜袋+纸盒),0.71,67450.0,16.4%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,板蓝根,2.9,284200.0,63.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,蔗糖,0.57,55860.0,12.5%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,糊精,0.36,35280.0,7.9%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,98000,包装材料(复合膜袋+纸盒),0.74,72520.0,16.2%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,板蓝根,3.05,311100.0,64.2%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,蔗糖,0.58,59160.0,12.2%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,糊精,0.37,37740.0,7.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,102000,包装材料(复合膜袋+纸盒),0.75,76500.0,15.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,板蓝根,2.95,265500.0,64.1%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,蔗糖,0.56,50400.0,12.2%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,糊精,0.36,32400.0,7.8%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,90000,包装材料(复合膜袋+纸盒),0.73,65700.0,15.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,熟地黄,3.5,112000.0,28.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,山茱萸,2.8,89600.0,23.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,山药,1.5,48000.0,12.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,泽泻,0.85,27200.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,茯苓,1.2,38400.0,9.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,牡丹皮,1.05,33600.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,空心胶囊,0.38,12160.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,32000,包装材料(PVC+铝箔+纸盒),0.9,28800.0,7.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,熟地黄,3.55,99400.0,28.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,山茱萸,2.85,79800.0,23.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,山药,1.52,42560.0,12.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,泽泻,0.86,24080.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,茯苓,1.22,34160.0,9.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,牡丹皮,1.06,29680.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,空心胶囊,0.38,10640.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,28000,包装材料(PVC+铝箔+纸盒),0.91,25480.0,7.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,熟地黄,3.45,120750.0,28.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,山茱萸,2.75,96250.0,22.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,山药,1.48,51800.0,12.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,泽泻,0.84,29400.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,茯苓,1.18,41300.0,9.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,牡丹皮,1.03,36050.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,空心胶囊,0.37,12950.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,35000,包装材料(PVC+铝箔+纸盒),0.89,31150.0,7.4%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,熟地黄,3.6,136800.0,28.7%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,山茱萸,2.9,110200.0,23.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,山药,1.54,58520.0,12.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,泽泻,0.87,33060.0,6.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,茯苓,1.24,47120.0,9.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,牡丹皮,1.08,41040.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,空心胶囊,0.39,14820.0,3.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,38000,包装材料(PVC+铝箔+纸盒),0.92,34960.0,7.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,熟地黄,3.72,148800.0,28.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,山茱萸,3.0,120000.0,23.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,山药,1.58,63200.0,12.3%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,泽泻,0.89,35600.0,6.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,茯苓,1.28,51200.0,9.9%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,牡丹皮,1.1,44000.0,8.5%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,空心胶囊,0.39,15600.0,3.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,40000,包装材料(PVC+铝箔+纸盒),0.93,37200.0,7.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,熟地黄,3.62,126700.0,29.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,山茱萸,2.88,100800.0,23.1%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,山药,1.53,53550.0,12.2%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,泽泻,0.87,30450.0,7.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,茯苓,1.23,43050.0,9.8%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,牡丹皮,1.07,37450.0,8.6%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,空心胶囊,0.38,13300.0,3.0%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,35000,包装材料(PVC+铝箔+纸盒),0.91,31850.0,7.3%
